Nome do alimento,Nível 1,Nível 2,Nível 3,Energia [kcal],Energia [kJ],Lípidos [g],Ácidos gordos saturados [g],Ácidos gordos monoinsaturados  [g],Ácidos gordos polinsaturados  [g],Ácido linoleico  [g],Ácidos gordos trans  [g],Hidratos de carbono  [g],Açúcares  [g],Oligossacáridos  [g],Amido  [g],Fibra   [g],Proteínas  [g],Sal   [g],Álcool  [g],Água  [g],Ácidos orgânicos  [g],Colesterol  [mg],Vitamina A   [µg],Caroteno  [µg],Vitamina D  [µg],alfa-tocoferol  [mg],Tiamina  [mg],Riboflavina  [mg],Niacina  [mg],Equivalentes de niacina  [mg],Triptofano/60  [mg],Vitamina B6  [mg],Vitamina B12  [µg],Vitamina C  [mg],Folatos  [µg],Cinza  [g],Sódio  [mg],Potássio  [mg],Cálcio  [mg],Fósforo  [mg],Magnésio  [mg],Ferro  [mg],Zinco  [mg],Selénio  [µg],Iodo  [µg]
Arroz de peixe com ervilhas,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),110,465,0.8,0.1,0.4,0.2,0.159,0.0,19.8,0.7,0.5,18.6,1.9,4.9,0.6,0.0,71.7,0.0,2.0,14.0,78.0,0.1,0.2,0.24,0.02,0.89,1.78,0.89,0.12,0.06,6.3,24.0,1.21,240.0,170.0,18.0,74.0,14.0,0.8,0.6,,
Caldeirada de safio com batatas,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",81,339,3.1,0.6,2.2,0.4,0.2,0.0,7.2,1.9,0.2,5.3,1.3,4.5,0.7,0.6,83.4,0.0,11.0,116.0,323.0,17.7,1.15,0.11,0.03,0.88,2.13,1.03,0.27,0.06,16.6,19.8,1.5,310.0,310.0,56.0,73.0,18.0,0.6,0.5,,
Arroz de bacalhau,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),90,379,1.6,0.2,1.2,0.2,0.196,0.0,15.3,1.4,0.1,13.9,0.9,3.1,0.4,0.0,78.4,0.0,4.0,28.0,163.0,0.3,0.65,0.05,0.02,0.66,1.25,0.58,0.12,0.07,7.2,11.0,0.812,170.0,120.0,11.0,34.0,9.3,0.4,0.4,,
Arroz de tamboril malandrinho,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),67,283,0.2,0.0,0.0,0.1,0.0667,0.0,10.0,0.6,0.1,9.3,0.6,5.9,0.5,0.0,82.3,0.0,11.0,26.0,117.0,0.0,0.23,0.03,0.02,0.93,2.06,1.13,0.1,0.07,8.1,8.7,0.953,190.0,150.0,8.5,73.0,13.0,0.3,0.3,,
Bolo ferradura,Cereais e produtos à base de cereais,Produtos de pastelaria fina,Pastelaria diversa,351,1480,4.1,1.4,1.2,1.0,0.929,0.0,71.6,26.8,0.0,44.8,1.9,5.9,0.4,0.0,15.6,0.0,30.0,29.0,10.0,0.1,0.41,0.06,0.07,0.81,2.13,1.28,0.11,0.07,0.0,19.0,0.813,150.0,98.0,21.0,130.0,24.0,0.9,0.7,,
Molho branco com margarina,"Temperos, molhos e condimentos",Condimentos (incluindo formatos de mesa),Molhos salgados,244,1020,16.8,8.8,3.7,4.7,4.2,0.0,18.5,4.2,0.0,14.3,0.8,4.4,1.4,0.0,57.8,0.0,7.0,140.0,87.0,0.1,0.1,0.03,0.09,0.3,1.3,1.0,0.05,0.07,0.0,2.3,1.9,560.0,160.0,98.0,93.0,14.0,0.4,0.5,,
Sopa de espinafres com ovos,Pratos compostos,Sopas e saladas,Sopas (prontas a comer),93,387,6.9,1.1,4.7,0.7,0.586,0.0,4.7,0.4,0.0,4.3,1.2,2.5,0.5,0.0,83.9,0.0,30.0,186.0,1030.0,0.1,1.49,0.03,0.11,0.24,0.88,0.64,0.09,0.07,11.8,53.0,0.897,190.0,170.0,41.0,40.0,21.0,1.1,0.5,,
Arroz de peixe,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)",Pratos à base de massas alimentícias e arroz (ou outro cereal),125,525,3.7,0.6,1.5,1.4,0.935,0.0,15.5,0.7,0.1,14.7,0.7,7.0,0.6,0.0,72.1,0.0,8.0,11.0,58.0,1.2,1.26,0.03,0.02,0.59,2.14,1.34,0.07,0.08,1.7,9.0,1.1,240.0,120.0,15.0,75.0,17.0,0.3,0.5,,
Leite de cabra cru,Leite e produtos lácteos,"Leite, soro de leite  e nata",Leite,70,291,4.0,2.6,1.1,0.1,0.1,0.1,4.6,4.6,0.0,0.0,0.0,3.8,0.1,0.0,86.9,0.0,11.0,53.0,0.0,0.1,0.03,0.05,0.1,0.3,1.0,0.7,0.04,0.08,3.0,1.0,0.85,40.0,180.0,150.0,120.0,20.0,0.2,0.3,,
Leite evaporado,Leite e produtos lácteos,Leite e produtos lácteos em pó e concentrados,Leite e produtos lácteos concentrados,136,567,7.8,4.4,1.8,0.2,0.2,0.3,9.8,9.8,0.0,0.0,0.0,6.6,0.4,0.0,74.0,0.0,28.0,129.0,106.0,0.1,0.14,0.06,0.31,0.6,2.2,1.6,0.06,0.08,0.0,9.0,1.8,140.0,320.0,260.0,230.0,22.0,0.1,0.8,,
Molho branco com caldo de carne de vaca,"Temperos, molhos e condimentos",Condimentos (incluindo formatos de mesa),Molhos salgados,115,477,9.2,4.6,2.0,2.5,2.2,0.0,6.8,0.3,0.0,6.5,0.3,1.1,1.9,0.0,80.9,0.0,0.0,48.0,34.0,0.1,0.0,0.01,0.0,0.2,0.5,0.3,0.01,0.08,0.0,2.6,2.0,770.0,26.0,13.0,18.0,8.0,0.1,0.2,,
Peixinhos da horta,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",94,396,1.4,0.4,0.4,0.4,0.322,0.0,14.9,2.5,0.0,12.3,2.9,4.0,0.7,0.0,75.3,0.0,38.0,52.0,206.0,0.2,0.42,0.06,0.1,0.73,1.74,1.01,0.1,0.09,13.5,72.0,1.57,270.0,230.0,41.0,67.0,22.0,1.0,0.4,,
Pudim instantâneo preparado com leite magro,Leite e produtos lácteos,Sobremesa à base de leite e similares,Sobremesas de colher à base de leite,104,437,1.9,1.6,0.1,0.0,0.018,0.0,18.3,13.9,0.0,4.5,0.2,3.2,0.4,0.0,74.8,0.0,1.0,0.0,0.0,0.0,0.0,0.04,0.15,0.08,0.73,0.65,0.04,0.09,0.0,0.8,1.03,170.0,140.0,98.0,150.0,10.0,0.2,0.4,,
Açorda,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",104,435,4.0,0.6,0.6,0.6,0.53,0.6,13.1,0.5,0.0,12.6,1.0,3.3,0.5,0.0,77.9,0.0,41.0,22.0,17.0,0.2,0.58,0.02,0.09,0.32,1.13,0.81,0.06,0.1,1.9,12.0,0.764,210.0,58.0,17.0,56.0,9.4,0.8,0.4,,
"Caldeirada de safio, raia e tamboril",Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",98,412,2.9,0.4,2.1,0.3,0.215,0.0,9.8,1.8,0.2,7.8,1.3,7.0,0.9,0.3,76.0,0.0,14.0,44.0,113.0,6.1,0.87,0.12,0.02,1.2,2.79,1.33,0.27,0.1,8.9,17.0,1.85,370.0,330.0,45.0,100.0,20.0,0.4,0.4,,
"Clara de ovo de galinha, crua",Ovos e ovoprodutos,Ovos não processados,Ovoprodutos líquidos,47,198,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.5,0.0,87.4,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.33,0.03,3.2,3.2,0.02,0.1,0.0,14.0,1.3,190.0,140.0,6.0,13.0,12.0,0.1,0.1,,
"Clara de ovo de galinha, pasteurizada",Ovos e ovoprodutos,Ovos não processados,Ovoprodutos líquidos,46,196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.5,0.4,0.0,87.8,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.29,0.1,2.77,2.67,0.0,0.1,0.0,16.0,0.6,150.0,140.0,11.0,11.0,9.0,0.0,0.0,,
Farinheira cozida sem adição de sal,Carne e produtos cárneos,Enchidos,Enchidos preservados ou parcialmente preservados,404,1680,30.7,10.9,12.0,5.0,4.3,0.1,26.4,0.5,0.0,25.9,1.3,4.8,0.2,0.0,35.8,0.0,57.0,0.0,0.0,0.1,0.3,0.13,0.1,1.6,2.4,0.8,0.07,0.1,0.0,4.1,2.3,85.0,130.0,26.0,69.0,19.0,1.7,0.7,,
Farinheira crua,Carne e produtos cárneos,Enchidos,Enchidos preservados ou parcialmente preservados,497,2060,41.0,14.5,16.0,6.6,5.8,0.1,26.7,0.5,0.0,26.2,1.2,4.8,2.4,0.0,25.3,0.0,58.0,4.0,0.0,0.1,0.3,0.16,0.11,2.0,2.8,0.8,0.09,0.1,0.0,6.0,2.8,960.0,140.0,25.0,70.0,18.0,1.6,0.7,,
Gamba crua,"Peixes, mariscos, anfíbios, répteis e invertebrados",Crustáceos,Camarões e gambas,88,373,0.2,0.0,0.0,0.1,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.5,0.0,75.1,0.0,79.0,8.0,0.0,7.1,0.1,0.03,0.01,0.2,4.0,3.8,0.05,0.1,0.0,0.2,1.9,190.0,180.0,87.0,150.0,30.0,1.8,0.3,,
"Leite humano, colostro",Leite e produtos lácteos,"Leite, soro de leite  e nata",Leite,60,250,2.8,1.2,1.2,0.3,0.2,0.0,6.3,6.3,0.0,0.0,0.0,2.3,0.1,0.0,87.9,0.0,31.0,184.0,135.0,0.0,1.3,0.0,0.03,0.05,0.85,0.8,0.0,0.1,2.0,7.0,0.4,59.0,83.0,26.0,17.0,4.0,0.1,0.2,,
Molho Béchamel com manteiga,"Temperos, molhos e condimentos",Condimentos (incluindo formatos de mesa),Molhos salgados,130,544,8.4,4.7,1.9,0.3,0.2,0.3,9.6,5.3,0.0,4.3,0.2,4.0,0.6,0.0,77.8,0.0,27.0,60.0,12.0,0.1,0.2,0.02,0.11,0.3,1.3,1.0,0.04,0.1,0.0,0.7,1.3,230.0,190.0,130.0,110.0,13.0,0.3,0.6,,
Molho Béchamel com margarina,"Temperos, molhos e condimentos",Condimentos (incluindo formatos de mesa),Molhos salgados,140,583,9.5,4.8,1.9,2.2,1.9,0.1,9.9,5.4,0.0,4.4,0.2,3.6,0.7,0.0,76.0,0.0,9.0,70.0,40.0,0.1,0.1,0.02,0.11,0.3,1.3,1.0,0.04,0.1,0.0,0.7,1.0,270.0,180.0,130.0,110.0,13.0,0.3,0.6,,
Molho de carne de vaca assada com margarina,"Temperos, molhos e condimentos",Condimentos (incluindo formatos de mesa),Molhos salgados,513,2110,56.0,28.0,12.3,15.4,13.8,0.0,0.4,0.4,0.0,0.0,0.1,1.9,1.9,0.0,40.0,0.0,8.0,336.0,224.0,0.1,0.0,0.02,0.02,0.3,0.7,0.4,0.03,0.1,0.0,2.4,2.0,760.0,49.0,6.0,27.0,4.0,0.4,0.4,,
"Molho de carne de vaca estufada com vegetais, azeite e margarina","Temperos, molhos e condimentos",Condimentos (incluindo formatos de mesa),Molhos salgados,267,1100,28.5,7.1,17.7,3.6,3.3,0.0,1.3,0.4,0.0,0.9,0.2,1.3,0.6,0.0,68.2,0.0,4.0,50.0,53.0,0.1,2.9,0.01,0.01,0.2,0.5,0.3,0.04,0.1,1.0,3.0,0.5,230.0,63.0,5.0,17.0,3.0,0.2,0.4,,
Molho de lombo de porco frito com banha,"Temperos, molhos e condimentos",Condimentos (incluindo formatos de mesa),Molhos salgados,551,2260,60.2,15.9,35.3,6.3,5.8,0.2,0.0,0.0,0.0,0.0,0.0,2.2,0.2,0.0,37.4,0.0,55.0,8.0,0.0,0.1,0.7,0.06,0.02,0.4,0.9,0.5,0.04,0.1,0.0,0.4,0.2,92.0,36.0,3.0,23.0,4.0,0.1,0.3,,
Molho de lombo de porco frito com banha e margarina,"Temperos, molhos e condimentos",Condimentos (incluindo formatos de mesa),Molhos salgados,498,2050,54.3,20.1,22.9,9.9,9.0,0.1,0.1,0.1,0.0,0.0,0.0,2.3,1.1,0.0,42.3,0.0,31.0,152.0,96.0,0.1,0.4,0.06,0.02,0.4,0.9,0.5,0.04,0.1,0.0,0.4,1.0,450.0,38.0,3.0,24.0,3.0,0.2,0.3,,
Molho de lombo de porco frito com margarina,"Temperos, molhos e condimentos",Condimentos (incluindo formatos de mesa),Molhos salgados,447,1840,48.5,24.3,10.5,13.5,12.1,0.0,0.2,0.2,0.0,0.0,0.0,2.3,1.6,0.0,47.3,0.0,7.0,288.0,192.0,0.1,0.1,0.07,0.02,0.4,0.9,0.5,0.04,0.1,0.0,0.4,1.7,620.0,39.0,4.0,25.0,3.0,0.2,0.3,,
Molho para francesinha,"Temperos, molhos e condimentos",Condimentos (incluindo formatos de mesa),Molhos salgados,74,308,2.6,1.2,0.6,0.7,0.602,0.0,4.8,2.5,0.0,2.3,0.2,1.1,0.7,3.8,83.1,0.0,1.0,47.0,182.0,0.0,0.25,0.03,0.04,0.49,0.6,0.17,0.04,0.1,3.8,5.4,1.13,300.0,120.0,26.0,29.0,11.0,0.4,0.1,,
Pudim instantâneo preparado com leite meio gordo,Leite e produtos lácteos,Sobremesa à base de leite e similares,Sobremesas de colher à base de leite,113,476,3.0,2.3,0.4,0.0,0.018,0.1,18.3,13.9,0.0,4.5,0.2,3.1,0.4,0.0,73.7,0.0,7.0,18.0,10.0,0.1,0.02,0.03,0.15,0.16,0.81,0.65,0.04,0.1,0.0,0.8,1.02,160.0,140.0,98.0,150.0,9.2,0.2,0.5,,
Favada à portuguesa,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",130,542,5.9,1.9,2.2,1.0,0.692,0.0,8.4,1.8,0.5,6.1,5.6,8.0,0.6,0.0,70.5,0.0,10.0,18.0,100.0,0.0,0.52,0.08,0.05,1.4,2.78,1.41,0.09,0.11,24.2,140.0,1.51,240.0,300.0,31.0,95.0,34.0,1.7,1.1,,
Hambúrguer de feijão manteiga frito com azeite,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",169,708,5.3,0.9,3.3,0.7,0.631,0.0,19.8,1.2,1.1,17.4,4.9,8.0,1.1,0.0,59.7,0.0,47.0,41.0,113.0,0.2,0.89,0.11,0.11,0.74,2.28,1.49,0.13,0.11,6.9,30.0,2.27,440.0,340.0,54.0,150.0,42.0,2.5,1.0,,
Hambúrguer de feijão manteiga frito com óleo de milho,Pratos compostos,"Pratos, incl. refeições prontas a comer (excluindo sopas e saladas)","Pratos, excluindo pratos  de massa ou arroz, sanduíches e pizza",169,708,5.3,0.9,1.5,2.3,2.17,0.1,19.8,1.2,1.1,17.4,4.9,8.0,1.1,0.0,59.7,0.0,47.0,42.0,118.0,0.2,1.26,0.11,0.11,0.74,2.28,1.49,0.13,0.11,6.9,30.0,2.27,440.0,340.0,54.0,150.0,42.0,2.5,1.0,,
