Nome do alimento,Nível 1,Nível 2,Nível 3,Energia [kcal],Energia [kJ],Lípidos [g],Ácidos gordos saturados [g],Ácidos gordos monoinsaturados  [g],Ácidos gordos polinsaturados  [g],Ácido linoleico  [g],Ácidos gordos trans  [g],Hidratos de carbono  [g],Açúcares  [g],Oligossacáridos  [g],Amido  [g],Fibra   [g],Proteínas  [g],Sal   [g],Álcool  [g],Água  [g],Ácidos orgânicos  [g],Colesterol  [mg],Vitamina A   [µg],Caroteno  [µg],Vitamina D  [µg],alfa-tocoferol  [mg],Tiamina  [mg],Riboflavina  [mg],Niacina  [mg],Equivalentes de niacina  [mg],Triptofano/60  [mg],Vitamina B6  [mg],Vitamina B12  [µg],Vitamina C  [mg],Folatos  [µg],Cinza  [g],Sódio  [mg],Potássio  [mg],Cálcio  [mg],Fósforo  [mg],Magnésio  [mg],Ferro  [mg],Zinco  [mg],Selénio  [µg],Iodo  [µg]
Figo seco,Frutos e produtos derivados de frutos,Produtos de frutos processados,Frutos secados,270,1140,0.6,0.1,0.1,0.3,0.3,0.0,58.3,58.3,0.0,0.0,11.0,2.3,0.2,0.0,25.6,0.0,0.0,11.0,65.0,0.0,0.7,0.07,0.06,0.8,1.2,0.4,0.22,0.0,1.0,9.0,2.2,62.0,940.0,240.0,72.0,86.0,2.6,0.3,,1.7
Fisális,Produtos hortícolas e derivados,Frutos de hortícolas,Solanaceas,68,287,0.6,0.2,0.1,0.1,0.04,0.0,11.7,11.7,0.0,0.0,4.2,1.8,0.0,0.0,80.3,0.0,0.0,275.0,1650.0,0.0,0.7,0.1,0.06,1.5,1.8,0.3,0.26,0.0,45.5,50.5,4.21,0.9,380.0,8.3,39.0,23.0,0.8,0.4,1.6,1.0
Flocos de arroz,Cereais e produtos à base de cereais,Cereais de pequeno-almoço,Cereais de pequeno almoço processados e misturados,379,1610,1.5,0.3,0.5,0.4,0.4,0.2,83.4,7.0,0.0,76.4,2.1,7.0,1.2,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.04,2.4,3.9,1.5,0.07,0.0,0.0,19.0,1.52,470.0,160.0,4.0,94.0,25.0,0.4,1.0,,
Flocos de aveia,Cereais e produtos à base de cereais,Cereais de pequeno-almoço,Cereais de pequeno almoço processados e misturados,366,1550,5.8,1.2,3.5,0.7,0.7,0.0,61.7,3.0,0.0,58.7,6.7,13.5,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,1.5,0.27,0.1,2.4,5.5,3.1,0.2,0.0,0.0,56.0,1.4,4.0,350.0,40.0,220.0,120.0,1.3,4.5,,
Flocos de centeio,Cereais e produtos à base de cereais,Cereais de pequeno-almoço,"Cereais de pequeno almoço, simples",352,1490,2.0,0.3,0.2,0.9,0.8,0.0,69.0,1.0,0.0,68.0,5.0,12.0,0.1,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.9,0.35,0.17,1.8,3.4,1.6,0.29,0.0,0.0,78.0,1.13,40.0,530.0,64.0,370.0,110.0,3.7,2.6,2.0,4.6
Flocos de cereais e frutos secos tipo Muesli,Cereais e produtos à base de cereais,Cereais de pequeno-almoço,Muesli e misturas de cereais de pequeno almoço similares,388,1640,6.3,1.1,2.3,2.6,2.4,0.0,69.1,16.8,0.0,52.3,6.8,10.4,0.6,0.0,5.7,0.0,0.0,0.0,0.0,0.0,3.2,0.05,0.18,1.1,3.3,2.2,1.6,0.0,0.0,130.0,1.67,230.0,410.0,16.0,180.0,86.0,1.5,2.0,,
Flocos de cevada,Cereais e produtos à base de cereais,Cereais de pequeno-almoço,"Cereais de pequeno almoço, simples",324,1370,2.0,0.3,0.2,0.7,0.621,0.0,64.4,0.9,0.0,63.5,7.6,8.3,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.3,0.12,0.03,5.7,7.7,2.0,0.1,0.0,0.0,19.0,1.0,5.0,280.0,18.0,220.0,70.0,3.2,2.0,8.6,10.0
Flocos de milho tipo Corn Flakes,Cereais e produtos à base de cereais,Cereais de pequeno-almoço,Cereais de pequeno almoço processados e misturados,374,1580,1.1,0.3,0.4,0.3,0.3,0.1,81.1,6.2,0.0,74.9,3.9,7.9,1.8,0.0,2.9,0.0,0.0,0.0,0.0,2.8,0.4,0.48,0.9,3.8,4.7,0.9,1.8,0.0,0.0,167.0,3.07,700.0,100.0,2.0,47.0,14.0,1.0,0.3,,1.0
Flocos de trigo,Cereais e produtos à base de cereais,Cereais de pequeno-almoço,Cereais de pequeno almoço processados e misturados,373,1580,2.5,0.6,0.3,0.9,0.9,0.0,69.0,6.8,0.0,62.2,9.3,14.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,2.0,0.08,0.15,4.1,5.9,1.8,0.17,0.0,0.0,32.0,1.61,11.0,410.0,11.0,300.0,140.0,2.4,2.4,,1.0
Flocos de trigo com figos tipo Nestum,Produtos alimentares para a população jovem,Alimentos à base de cereais destinados a lactentes e crianças jovens,Cereais simples que devem ser reconstituídos com leite ou outros líquidos nutritivos apropriados,370,1570,1.5,0.3,0.2,0.6,0.6,0.0,76.3,28.0,0.0,48.3,7.7,9.0,1.0,0.0,2.6,0.0,0.0,210.0,0.0,6.3,5.0,0.5,0.5,8.0,9.1,1.1,0.1,0.0,65.0,19.0,2.9,400.0,410.0,140.0,120.0,55.0,15.0,0.8,,
Flocos de trigo com mel tipo Nestum,Produtos alimentares para a população jovem,Alimentos à base de cereais destinados a lactentes e crianças jovens,Cereais simples que devem ser reconstituídos com leite ou outros líquidos nutritivos apropriados,385,1630,1.0,0.2,0.1,0.3,0.3,0.0,84.6,29.0,0.0,55.6,2.4,8.2,0.1,0.0,3.1,0.0,0.0,210.0,0.0,6.3,5.0,0.5,0.51,8.0,9.3,1.3,0.11,0.0,65.0,19.0,0.7,30.0,120.0,140.0,110.0,28.0,15.0,0.8,,
Flor de sal,"Temperos, molhos e condimentos",Temperos,Sal,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,40000.0,0.0,0.0,0.0,300.0,0.0,0.0,,
Folhas de rabanete cruas,Produtos hortícolas e derivados,Hortícolas folhosos,Alfaces e outros vegetais para salada,39,165,0.5,0.1,0.0,0.3,0.3,0.0,3.9,3.5,0.2,0.2,2.6,3.5,0.3,0.0,89.7,0.0,0.0,612.0,3670.0,0.0,1.3,0.13,0.35,0.8,1.6,0.8,0.14,0.0,63.0,90.0,0.81,110.0,370.0,200.0,44.0,26.0,3.8,0.4,,
Framboesa,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,Bagas e frutos pequenos,49,203,0.6,0.0,0.1,0.3,0.2,0.0,5.1,5.1,0.0,0.0,6.7,0.9,0.0,0.0,84.3,1.9,0.0,2.0,10.0,0.0,0.2,0.03,0.02,0.6,0.8,0.2,0.05,0.0,30.0,33.0,0.54,1.0,230.0,26.0,23.0,20.0,0.5,0.3,,
Framboesa desidratada,Frutos e produtos derivados de frutos,Produtos de frutos processados,Frutos secados,293,1230,3.6,0.0,0.6,1.8,1.0,0.0,30.9,30.9,0.0,0.0,40.5,5.4,0.0,0.0,5.0,11.5,0.0,,,0.0,1.21,,0.12,3.63,4.84,1.21,0.3,0.0,,199.7,3.27,6.1,1390.0,160.0,140.0,120.0,3.0,1.8,,
Funcho fresco,Produtos hortícolas e derivados,Ervas e flores comestíveis,Ervas aromáticas,32,133,0.4,0.1,0.1,0.2,0.04,0.0,2.6,2.6,0.0,0.0,3.3,2.8,0.0,0.0,90.0,0.0,0.0,350.0,2100.0,0.0,0.2,0.23,0.11,0.2,0.67,0.47,0.1,0.0,31.0,3.3,1.7,7.0,400.0,64.0,51.0,14.0,2.7,0.5,,
Gelado de água (sorvete),"Açúcar e similares, confeitaria e sobremesas doces à base de água",Sobremesas doces à base de água,Sorvetes à base de água,132,561,0.0,0.0,0.0,0.0,0.0,0.0,32.6,32.6,0.0,0.0,0.0,0.4,0.0,0.0,66.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,3.0,0.0,0.0,0.0,0.1,,
Gelatina desidratada (pó ou folha),"Ingredientes principais isolados, aditivos, aromas, fermentos e auxiliares tecnológicos",Proteínas isoladas e outros produtos de proteínas,Gelatina,349,1480,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.1,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,32.0,16.0,11.0,32.0,11.0,0.0,0.2,,
Gelatina preparada com ananás em conserva,"Açúcar e similares, confeitaria e sobremesas doces à base de água",Sobremesas doces à base de água,Sobremesas de colher à base de água,97,410,0.0,0.0,0.0,0.0,0.0,0.0,21.6,21.6,0.0,0.0,0.4,2.2,0.0,0.0,75.4,0.2,0.0,1.0,4.0,0.0,0.02,0.01,0.01,0.08,0.08,0.0,0.03,0.0,2.9,0.4,0.235,2.6,46.0,9.5,2.8,5.0,0.1,0.1,,
Gelatina preparada com laranja e sumo de laranja,"Açúcar e similares, confeitaria e sobremesas doces à base de água",Sobremesas doces à base de água,Sobremesas de colher à base de água,84,355,0.1,0.0,0.0,0.1,0.0173,0.0,17.4,17.4,0.0,0.0,0.7,2.6,0.0,0.0,78.1,0.4,0.0,10.0,58.0,0.0,0.13,0.05,0.02,0.32,0.38,0.06,0.05,0.0,30.3,17.0,0.314,3.8,88.0,17.0,10.0,5.8,0.2,0.1,,
Geleia de casca de laranja,Frutos e produtos derivados de frutos,Produtos de frutos processados,"Frutos / Vegetais, cremes e similares",275,1170,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,0.7,0.3,0.0,0.0,30.7,0.0,0.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.3,18.0,44.0,35.0,10.0,4.0,0.7,0.1,,
Gengibre fresco,"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Especiarias,Especiaria de de raízes e tubérculos,82,345,0.8,0.2,0.2,0.2,0.143,0.0,15.8,15.8,0.0,0.0,2.0,1.8,0.0,0.0,78.9,0.0,0.0,0.0,0.0,0.0,0.5,0.03,0.03,0.75,0.95,0.2,0.16,0.0,5.0,11.0,0.8,13.0,420.0,16.0,34.0,43.0,0.6,0.3,,
Gérmen de trigo,Cereais e produtos à base de cereais,Cereais e seus derivados primários,Germe de cereais,391,1640,9.6,1.4,1.1,4.3,4.0,0.0,41.8,15.7,0.0,26.1,12.3,28.1,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,11.0,1.45,0.61,5.8,11.47,5.67,1.42,0.0,0.0,190.0,4.4,5.5,1050.0,41.0,1000.0,260.0,5.0,18.0,3.0,0.3
Gin - Rum- Whisky,Bebidas alcoólicas,Bebidas espirituosas não açucaradas e licores,Bebidas espirituosas não açucaradas,222,919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,68.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Ginja,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,Frutos de caroço,57,240,0.3,0.1,0.1,0.1,0.0,0.0,11.5,11.5,0.0,0.0,1.6,0.9,0.0,0.0,85.2,0.4,0.0,20.0,123.0,0.0,0.13,0.04,0.05,0.4,0.5,0.1,0.05,0.0,10.0,9.0,0.55,3.0,200.0,15.0,17.0,10.0,0.4,0.1,,
"Goiaba crua, polpa",Frutos e produtos derivados de frutos,Fruta utilizada como fruta,"Frutos diversos com casca não comestível, grandes",41,169,0.5,0.0,0.1,0.1,0.1,0.0,5.0,4.9,0.0,0.1,5.3,0.8,0.0,0.0,84.7,0.8,0.0,73.0,435.0,0.0,0.55,0.04,0.04,1.0,1.1,0.1,0.14,0.0,230.0,40.8,0.29,5.0,230.0,13.0,25.0,12.0,0.4,0.2,,
Grão-de-bico cozido (demolhado),"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Leguminosas,Leguminosas (sementes de leguminosas secas),130,545,2.1,0.2,0.4,1.0,1.0,0.0,16.7,1.0,0.6,15.1,5.1,8.4,0.6,0.0,65.8,0.0,0.0,4.0,23.0,0.0,1.1,0.1,0.07,0.7,1.8,1.1,0.14,0.0,0.0,54.0,1.5,250.0,270.0,46.0,83.0,39.0,2.1,1.2,,0.2
Grão-de-bico cru,"Leguminosas, frutos de casca rija, sementes oleaginosas e especiarias",Leguminosas,Leguminosas (sementes de leguminosas secas),354,1490,5.0,0.5,1.0,2.5,2.5,0.0,51.4,2.8,3.4,45.2,13.5,19.0,0.0,0.0,8.0,0.0,0.0,10.0,60.0,0.0,2.7,0.41,0.15,1.9,4.4,2.5,0.5,0.0,3.0,180.0,3.0,6.0,980.0,140.0,240.0,100.0,6.3,2.5,,
Grelos de couve cozidos,Produtos hortícolas e derivados,Couves de inflorescência,Brócolos e similares,22,91,0.4,0.1,0.0,0.2,0.2,0.0,1.5,1.3,0.1,0.1,2.3,1.9,0.3,0.0,93.3,0.0,0.0,161.0,770.0,0.0,1.1,0.04,0.06,0.4,0.8,0.4,0.09,0.0,35.0,48.0,0.6,110.0,100.0,130.0,41.0,12.0,0.5,0.5,,1.7
Grelos de couve crus,Produtos hortícolas e derivados,Couves de inflorescência,Brócolos e similares,28,119,0.4,0.1,0.0,0.3,0.3,0.0,2.5,2.1,0.2,0.2,2.6,2.4,0.0,0.0,91.6,0.0,0.0,180.0,1080.0,0.0,1.3,0.07,0.09,0.7,1.1,0.4,0.14,0.0,79.0,90.0,1.04,19.0,230.0,150.0,51.0,20.0,0.6,0.7,,
Grelos de nabo cozidos,Produtos hortícolas e derivados,Couves de inflorescência,Brócolos e similares,20,85,0.4,0.1,0.0,0.2,0.2,0.0,1.3,1.1,0.1,0.1,2.2,1.8,0.3,0.0,93.7,0.0,0.0,174.0,838.0,0.0,1.1,0.05,0.04,0.6,0.9,0.3,0.08,0.0,43.0,54.0,0.6,110.0,100.0,110.0,22.0,10.0,0.3,0.3,,1.7
Grelos de nabo crus,Produtos hortícolas e derivados,Couves de inflorescência,Brócolos e similares,29,119,0.5,0.1,0.0,0.3,0.3,0.0,2.3,1.9,0.2,0.2,2.6,2.4,0.0,0.0,91.3,0.0,0.0,204.0,1230.0,0.0,1.3,0.1,0.07,1.0,1.4,0.4,0.14,0.0,84.0,90.0,0.81,19.0,230.0,130.0,43.0,20.0,0.5,0.4,,
Gressino,Cereais e produtos à base de cereais,Pão e produtos similares,Bolachas e Grissinos,396,1670,8.7,2.5,4.9,1.2,1.0,0.0,67.0,4.3,0.0,62.7,3.5,10.7,0.8,0.0,8.1,0.0,6.0,0.0,0.0,0.0,1.2,0.4,0.52,6.0,7.6,1.6,0.13,0.0,0.0,25.0,2.02,310.0,110.0,110.0,180.0,31.0,3.2,0.7,,
Groselha,Frutos e produtos derivados de frutos,Fruta utilizada como fruta,Bagas e frutos pequenos,52,219,0.5,0.0,0.0,0.1,0.1,0.0,5.0,5.0,0.0,0.0,8.2,1.1,0.0,0.0,82.8,2.4,0.0,2.0,14.0,0.0,0.1,0.04,0.06,0.1,0.1,0.0,0.05,0.0,40.0,11.0,0.38,3.0,280.0,36.0,30.0,13.0,1.2,0.2,,1.0
Hortelã fresca,Produtos hortícolas e derivados,Ervas e flores comestíveis,Ervas aromáticas,51,212,0.7,0.1,0.1,0.5,0.1,0.0,5.3,5.1,0.0,0.0,3.9,3.8,0.0,0.0,86.4,0.0,0.0,123.0,740.0,0.0,5.0,0.12,0.33,1.1,1.6,0.5,0.09,0.0,31.0,110.0,1.7,15.0,260.0,210.0,75.0,11.0,9.5,0.7,,
Inhame cru,"Raízes amiláceas ou tubérculos e seus produtos, plantas sacarinas",Raízes e tubérculos amiláceos,Raízes e tubérculos de vegetais tropicais,114,484,0.3,0.1,0.0,0.1,0.1,0.0,25.7,0.7,0.0,25.0,1.3,1.5,0.0,0.0,67.2,0.0,0.0,14.0,83.0,0.0,4.6,0.16,0.01,0.2,0.5,0.3,0.16,0.0,4.0,8.0,0.47,2.0,380.0,15.0,27.0,15.0,0.7,0.3,1.0,2.0
"Iogurte gordo, aromatizado, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,83,349,3.6,2.0,0.8,0.1,0.1,0.1,8.5,8.5,0.0,0.0,0.0,3.9,0.1,0.0,82.9,0.4,8.0,55.0,31.0,0.0,0.1,0.02,0.18,0.2,1.0,0.8,0.03,0.0,0.0,7.0,0.75,46.0,140.0,140.0,95.0,18.0,0.2,0.6,,18.0
"Iogurte gordo, com polpa e/ou pedaços de fruta e cereais açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,114,478,3.2,1.8,0.7,0.1,0.1,0.1,15.8,15.8,0.0,0.0,0.8,4.2,0.1,0.0,75.0,1.1,8.0,54.0,119.0,0.0,0.05,0.03,0.22,0.2,1.1,0.9,0.04,0.0,0.0,3.0,0.75,48.0,180.0,120.0,110.0,12.0,0.2,0.5,,18.0
"Iogurte gordo, com polpa e/ou pedaços de fruta, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,96,403,3.2,1.8,0.7,0.1,0.1,0.1,12.4,12.4,0.0,0.0,0.0,4.2,0.1,0.0,79.3,0.2,12.0,52.0,115.0,0.0,0.05,0.03,0.17,0.2,1.1,0.9,0.03,0.0,0.0,2.5,0.75,39.0,150.0,130.0,91.0,10.0,0.2,0.5,,18.0
Iogurte grego magro natural,Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,56,236,2.0,1.4,0.4,0.1,0.1,0.1,3.9,3.9,0.0,0.0,0.0,5.3,0.0,0.0,87.9,0.4,6.0,30.0,17.0,0.0,0.03,0.03,0.24,0.2,1.1,0.9,0.03,0.0,0.0,1.7,0.75,0.1,180.0,120.0,110.0,12.0,0.2,0.5,,
"Iogurte líquido magro, aromatizado, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,62,263,0.3,0.2,0.1,0.0,0.0,0.0,11.6,11.6,0.0,0.0,0.0,3.2,0.2,0.0,84.2,0.0,1.0,16.0,9.0,0.0,0.0,0.02,0.18,0.2,0.9,0.7,0.03,0.0,0.0,6.0,0.75,60.0,120.0,81.0,72.0,8.0,0.2,0.3,,18.0
"Iogurte líquido meio gordo, aromatizado, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,70,297,1.3,0.7,0.3,0.0,0.0,0.1,11.5,11.5,0.0,0.0,0.0,3.0,0.1,0.0,83.3,0.2,3.0,33.0,19.0,0.0,0.02,0.02,0.17,0.2,0.8,0.6,0.03,0.0,0.0,6.4,0.75,42.0,98.0,110.0,78.0,8.0,0.2,0.3,,18.0
"Iogurte líquido meio gordo, natural, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,70,295,1.4,0.8,0.3,0.0,0.0,0.1,11.2,11.2,0.0,0.0,0.0,3.1,0.1,0.0,83.6,0.0,3.0,33.0,19.0,0.0,0.02,0.02,0.25,0.2,0.9,0.7,0.05,0.0,0.0,1.1,0.7,46.0,160.0,100.0,85.0,8.0,0.2,0.4,,18.0
"Iogurte magro, aromatizado, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,69,294,0.1,0.1,0.0,0.0,0.0,0.0,11.8,11.8,0.0,0.0,0.0,5.0,0.2,0.0,82.0,0.4,1.0,18.0,10.0,0.0,0.0,0.04,0.3,0.2,0.3,0.1,0.03,0.0,0.0,6.8,0.75,73.0,210.0,150.0,120.0,12.0,0.3,0.4,,18.0
"Iogurte magro, com cereais e edulcorantes",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,50,210,0.4,0.2,0.1,0.0,0.0,0.0,5.7,5.7,0.0,0.0,1.0,4.3,0.2,0.0,87.6,1.3,2.0,30.0,17.0,0.0,0.0,0.04,0.25,0.2,1.1,0.9,0.04,0.0,0.0,1.7,0.75,92.0,200.0,120.0,100.0,17.0,0.3,0.4,,
"Iogurte magro, natural",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,42,177,0.2,0.1,0.1,0.0,0.0,0.0,5.2,5.2,0.0,0.0,0.0,4.6,0.2,0.0,89.0,0.3,2.0,17.0,10.0,0.0,0.0,0.04,0.27,0.2,1.2,1.0,0.03,0.0,0.0,1.5,0.75,72.0,200.0,160.0,130.0,14.0,0.2,0.6,,18.0
"Iogurte magro, natural, com edulcorantes",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,47,202,0.1,0.1,0.0,0.0,0.0,0.0,6.3,6.3,0.0,0.0,0.0,5.0,0.2,0.0,87.4,0.5,2.0,17.0,41.0,0.0,0.0,0.04,0.25,0.2,1.3,1.1,0.04,0.0,0.0,1.8,0.75,92.0,260.0,160.0,140.0,14.0,0.1,0.1,,18.0
"Iogurte meio gordo, aromatizado, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,79,333,1.8,1.0,0.5,0.1,0.05,0.1,11.3,11.3,0.0,0.0,0.0,4.3,0.2,0.0,81.7,0.2,7.0,38.0,22.0,0.0,0.03,0.04,0.25,0.2,1.1,0.9,0.04,0.0,0.0,7.0,0.75,70.0,180.0,130.0,110.0,12.0,0.2,0.5,,
"Iogurte meio gordo, com polpa e/ou pedaços de fruta, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,92,390,1.7,1.0,0.4,0.1,0.0,0.1,14.6,14.6,0.0,0.0,0.0,4.3,0.2,0.0,78.2,0.5,6.0,36.0,20.0,0.0,0.03,0.03,0.25,0.1,1.0,0.9,0.04,0.0,0.0,8.3,0.75,72.0,210.0,130.0,110.0,12.0,0.2,0.5,,18.0
"Iogurte meio gordo, natural",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,54,228,1.8,1.0,0.4,0.1,0.1,0.1,5.0,5.0,0.0,0.0,0.0,4.2,0.2,0.0,87.9,0.4,6.0,30.0,17.0,0.0,0.03,0.03,0.24,0.2,1.1,0.9,0.03,0.0,0.0,1.7,0.75,62.0,180.0,120.0,110.0,12.0,0.2,0.5,,18.0
"Iogurte meio gordo, natural, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,91,386,2.1,1.2,0.5,0.1,0.1,0.1,13.1,13.1,0.0,0.0,0.0,4.7,0.2,0.0,78.9,0.5,8.0,45.0,26.0,0.0,0.04,0.04,0.27,0.2,1.2,1.0,0.04,0.0,0.0,8.0,0.75,81.0,230.0,160.0,140.0,14.0,0.2,0.6,,18.0
"Iogurte sem lactose enriquecido em proteína, magro, aromatizado, com pedaços e/ou polpa de fruta, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,76,323,0.0,0.0,0.0,0.0,0.0,0.0,9.7,8.9,0.0,0.0,0.0,9.0,0.2,0.0,82.0,0.4,1.0,18.0,10.0,0.0,0.0,0.04,0.3,0.2,0.3,0.1,0.03,0.0,0.0,6.8,0.75,73.0,210.0,92.0,120.0,12.0,0.3,0.4,,
"Iogurte sem lactose líquido, magro, aromatizado, com polpa de fruta, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,78,332,0.2,0.1,0.1,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,3.1,0.2,0.0,84.2,0.0,1.0,16.0,9.0,0.0,0.0,0.02,0.17,0.2,0.9,0.7,0.03,0.0,0.0,6.0,0.75,60.0,120.0,100.0,78.0,8.0,0.2,0.3,,18.0
"Iogurte sem lactose líquido, magro, aromatizado, com polpa de fruta, com edulcorantes",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,34,145,0.1,0.0,0.1,0.0,0.0,0.0,5.0,4.7,0.0,0.3,0.1,3.3,0.2,0.0,84.2,0.0,1.0,16.0,9.0,0.0,0.0,0.02,0.18,0.2,0.9,0.7,0.03,0.0,0.0,6.0,0.75,60.0,120.0,120.0,72.0,8.0,0.2,0.3,,
"Iogurte sem lactose líquido, meio gordo, aromatizado, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,71,302,1.4,0.9,0.3,0.0,0.0,0.1,11.8,11.8,0.0,0.0,0.0,2.8,0.1,0.0,83.3,0.2,3.0,33.0,19.0,0.0,0.02,0.02,0.17,0.2,0.8,0.6,0.03,0.0,0.0,6.4,0.75,42.0,98.0,100.0,78.0,8.0,0.2,0.3,,
"Iogurte sem lactose líquido, meio gordo, aromatizado, com polpa de fruta, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,73,308,1.3,0.9,0.3,0.0,0.0,0.1,12.5,12.4,0.0,0.0,0.0,2.6,0.1,0.0,83.3,0.2,3.0,33.0,19.0,0.0,0.02,0.02,0.17,0.2,0.8,0.6,0.03,0.0,0.0,6.4,0.75,42.0,98.0,110.0,72.0,8.0,0.2,0.3,,
"Iogurte sem lactose líquido, meio gordo, natural, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,70,296,1.4,0.9,0.3,0.0,0.0,0.1,11.7,11.7,0.0,0.0,0.0,2.7,0.1,0.0,83.6,0.0,3.0,33.0,19.0,0.0,0.02,0.02,0.25,0.2,0.9,0.7,0.05,0.0,0.0,1.1,0.7,46.0,160.0,100.0,85.0,8.0,0.2,0.4,,
"Iogurte sem lactose magro, aromatizado, com pedaços e/ou polpa de fruta, com edulcorantes",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,42,176,0.1,0.1,0.0,0.0,0.0,0.0,4.8,4.7,0.0,0.0,0.4,4.8,0.2,0.0,87.4,0.5,2.0,17.0,0.0,0.0,0.0,0.04,0.25,0.2,1.3,1.1,0.04,0.0,0.0,1.8,0.75,92.0,260.0,140.0,140.0,14.0,0.1,0.1,,27.0
"Iogurte sem lactose magro, natural",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,41,175,0.2,0.1,0.1,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,4.9,0.2,0.0,89.0,0.3,2.0,17.0,0.0,0.0,0.0,0.04,0.27,0.2,1.2,1.0,0.03,0.0,0.0,1.5,0.75,72.0,200.0,150.0,130.0,14.0,0.2,0.6,,35.0
"Iogurte sem lactose meio gordo, aromatizado, com frutos secos e cereais, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,98,414,1.6,1.0,0.5,0.1,0.1,0.1,16.1,16.1,0.0,0.0,0.1,3.7,0.2,0.0,80.1,1.3,8.0,38.0,22.0,0.0,0.03,0.04,0.25,0.2,1.1,0.9,0.04,0.0,0.0,1.7,0.75,92.0,200.0,120.0,100.0,17.0,0.3,0.4,,
"Iogurte sem lactose meio gordo, aromatizado, com pedaços e/ou polpa de fruta, açucarado",Leite e produtos lácteos,Leite ou nata fermentados,Produtos de leite fermentados,83,350,1.3,0.8,0.4,0.1,0.0,0.1,13.6,13.5,0.0,0.0,0.2,3.7,0.2,0.0,78.2,0.5,6.0,36.0,20.0,0.0,0.03,0.03,0.25,0.1,1.0,0.9,0.04,0.0,0.0,8.3,0.75,72.0,210.0,120.0,110.0,12.0,0.2,0.5,,
